feature,condition,subject,accuracy
Phoneme Onset,Sentences,sub-002,0.004691912956412069
Phoneme Onset,Sentences,sub-003,0.0051387264618269176
Phoneme Onset,Sentences,sub-004,0.012284725883669708
Phoneme Onset,Sentences,sub-005,0.0037007203438158554
Phoneme Onset,Sentences,sub-006,0.0009995734754901738
Phoneme Onset,Sentences,sub-007,0.003311978349556312
Phoneme Onset,Sentences,sub-008,0.0085190320214674
Phoneme Onset,Sentences,sub-009,0.005560195738443024
Phoneme Onset,Sentences,sub-010,0.010577379500312775
Phoneme Onset,Sentences,sub-011,0.009720726039052269
Phoneme Onset,Sentences,sub-012,0.007896205273304308
Phoneme Onset,Sentences,sub-013,0.0023227185336502287
Phoneme Onset,Sentences,sub-014,0.004541229311481437
Phoneme Onset,Sentences,sub-016,0.005224303659600536
Phoneme Onset,Sentences,sub-017,0.0011770560340259807
Phoneme Onset,Sentences,sub-018,0.008720594813536145
Phoneme Onset,Sentences,sub-019,0.0022705313517842555
Phoneme Onset,Sentences,sub-020,0.0008738521482049837
Phoneme Onset,Sentences,sub-021,0.005177446338947718
Phoneme Onset,Word_list,sub-002,0.0035165902017283003
Phoneme Onset,Word_list,sub-003,0.003607367456918876
Phoneme Onset,Word_list,sub-004,0.011912283288541131
Phoneme Onset,Word_list,sub-005,0.003425364510649089
Phoneme Onset,Word_list,sub-006,0.00123064527595116
Phoneme Onset,Word_list,sub-007,0.0027711340068305185
Phoneme Onset,Word_list,sub-008,0.004531241111443098
Phoneme Onset,Word_list,sub-009,0.005979442713206967
Phoneme Onset,Word_list,sub-010,0.010449515218716069
Phoneme Onset,Word_list,sub-011,0.0077600560945910516
Phoneme Onset,Word_list,sub-012,0.004644207244955901
Phoneme Onset,Word_list,sub-013,0.0018680499475249065
Phoneme Onset,Word_list,sub-014,0.002634077402873883
Phoneme Onset,Word_list,sub-016,0.004906653785038181
Phoneme Onset,Word_list,sub-017,0.0015335452225033494
Phoneme Onset,Word_list,sub-018,0.008624324025693032
Phoneme Onset,Word_list,sub-019,0.0025564147677604107
Phoneme Onset,Word_list,sub-020,0.0016321279239980085
Phoneme Onset,Word_list,sub-021,0.006115829385709018
Phoneme Surprisal/Entropy,Sentences,sub-002,0.004574200015260441
Phoneme Surprisal/Entropy,Sentences,sub-003,0.005022258849005533
Phoneme Surprisal/Entropy,Sentences,sub-004,0.01223476138646145
Phoneme Surprisal/Entropy,Sentences,sub-005,0.0035986350047226435
Phoneme Surprisal/Entropy,Sentences,sub-006,0.0010242581557013443
Phoneme Surprisal/Entropy,Sentences,sub-007,0.003153701509164272
Phoneme Surprisal/Entropy,Sentences,sub-008,0.008437912999141064
Phoneme Surprisal/Entropy,Sentences,sub-009,0.005542903158301997
Phoneme Surprisal/Entropy,Sentences,sub-010,0.01046895119375867
Phoneme Surprisal/Entropy,Sentences,sub-011,0.009666649466154576
Phoneme Surprisal/Entropy,Sentences,sub-012,0.00785903548789812
Phoneme Surprisal/Entropy,Sentences,sub-013,0.0023165618819824523
Phoneme Surprisal/Entropy,Sentences,sub-014,0.004520417876370949
Phoneme Surprisal/Entropy,Sentences,sub-016,0.005211783406043554
Phoneme Surprisal/Entropy,Sentences,sub-017,0.0011722974357778711
Phoneme Surprisal/Entropy,Sentences,sub-018,0.008691054036349122
Phoneme Surprisal/Entropy,Sentences,sub-019,0.0022557332975608265
Phoneme Surprisal/Entropy,Sentences,sub-020,0.0008598950318596187
Phoneme Surprisal/Entropy,Sentences,sub-021,0.005147927286079642
Phoneme Surprisal/Entropy,Word_list,sub-002,0.0035190863881828156
Phoneme Surprisal/Entropy,Word_list,sub-003,0.0036009267233825214
Phoneme Surprisal/Entropy,Word_list,sub-004,0.011927390315741134
Phoneme Surprisal/Entropy,Word_list,sub-005,0.003396575140280144
Phoneme Surprisal/Entropy,Word_list,sub-006,0.001210861914038631
Phoneme Surprisal/Entropy,Word_list,sub-007,0.0027775838452307154
Phoneme Surprisal/Entropy,Word_list,sub-008,0.004499104105861645
Phoneme Surprisal/Entropy,Word_list,sub-009,0.005971477181953357
Phoneme Surprisal/Entropy,Word_list,sub-010,0.010446787998444675
Phoneme Surprisal/Entropy,Word_list,sub-011,0.007742544023903531
Phoneme Surprisal/Entropy,Word_list,sub-012,0.004711200609447062
Phoneme Surprisal/Entropy,Word_list,sub-013,0.0018720620197471163
Phoneme Surprisal/Entropy,Word_list,sub-014,0.0026280797883454794
Phoneme Surprisal/Entropy,Word_list,sub-016,0.004895021689100645
Phoneme Surprisal/Entropy,Word_list,sub-017,0.0015549013659578908
Phoneme Surprisal/Entropy,Word_list,sub-018,0.008611682291603986
Phoneme Surprisal/Entropy,Word_list,sub-019,0.0025638125285204114
Phoneme Surprisal/Entropy,Word_list,sub-020,0.0016382947559049005
Phoneme Surprisal/Entropy,Word_list,sub-021,0.006107197601155594
